postcode,place,location_raw,address_raw,accepts_minigolf_card,has_club,course_types,approved_course_types,detail_url,source_plz_group,source_url,place_raw,place_addon,street_name,house_number,house_number_addon,address_extra,address_type,resolved_place,district,state,county,country,country_code,latitude,longitude,geocode_query,geocode_display_name,geocode_source,venue_name,venue_category,venue_website,venue_phone,venue_opening_hours,venue_wikipedia,venue_wikidata,osm_id,osm_type,osm_class,detail_address,detail_phone,detail_fax,detail_website,detail_email,detail_opening_hours,detail_facility_type,detail_additional_offers
01987,Schwarzheide,01987 Schwarzheide,Hauptstraße 28 c,false,false,sonstige|unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Schwarzheide,,Hauptstraße,28,c,,street_address,,,,,Germany,DE,51.4690005,13.8837391,"Hauptstraße 28 c, 01987 Schwarzheide, Germany","Bahnengolfanlage, 28c, Hauptstraße, Schwarzheide-Ost Naundorf, Schwarzheide, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 01987, Deutschland",nominatim,Bahnengolfanlage,,,,,,,,,,,,,,,,,
02625,Bautzen,02625 Bautzen,Strandpromenade 10,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Bautzen,,Strandpromenade,10,,,street_address,,,,,Germany,DE,51.2069942,14.466512,"Strandpromenade 10, 02625 Bautzen, Germany","Minigolfpark am Stausee Bautzen, 10, Strandpromenade, Burk - Bórk, Bautzen, Bautzen - Budyšin, Sachsen, 02625, Deutschland",nominatim,Minigolfpark am Stausee Bautzen,,,,,,,,,,,,,,,,,
02681,Schirgiswalde,02681 Schirgiswalde,Lärchenbergweg 2,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Schirgiswalde,,Lärchenbergweg,2,,,street_address,,,,,Germany,DE,51.0795667,14.4244964,"Lärchenbergweg 2, 02681 Schirgiswalde, Germany","2, Lärchenbergweg, Schirgiswalde, Schirgiswalde-Kirschau, Bautzen - Budyšin, Sachsen, 02681, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
02763,Zittau,02763 Zittau,Schrammstr. 63,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Zittau,,Schrammstr.,63,,,street_address,,,,,Germany,DE,50.8879678,14.808369,"Schrammstr. 63, 02763 Zittau, Germany","63, Schrammstraße, Zittau, Bertsdorf-Hörnitz, Görlitz, Sachsen, 02763, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
02779,Großschönau,02779 Großschönau,Jonsdorfer Straße,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Großschönau,,Jonsdorfer Straße,,,,street_without_number,,,,,Germany,DE,50.8789136,14.6741197,"Jonsdorfer Straße, 02779 Großschönau, Germany","Jonsdorfer Straße, Großschönau, Großschönau-Hainewalde, Görlitz, Sachsen, 02779, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
02829,Neißeaue,02829 Neißeaue,Am Kulturhaus 6,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Neißeaue,,Am Kulturhaus,6,,,street_address,,,,,Germany,DE,51.2665796,14.9551499,"Am Kulturhaus 6, 02829 Neißeaue, Germany","6, Am Kulturhaus, Kaltwasser, Neißeaue, Weißer Schöps/Neiße, Görlitz, Sachsen, 02829, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
02953,Gablenz,02953 Gablenz,Seeweg 2c,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Gablenz,,Seeweg,2,c,,street_address,Gablenz - Jabłońc,Gablenz,Sachsen,Görlitz,Deutschland,DE,51.534216,14.6679644,"Seeweg 2 c, 02953 Gablenz, Germany","2c, Seeweg, Gora, Gablenz, Gablenz - Jabłońc, Bad Muskau, Görlitz, Sachsen, 02953, Deutschland",nominatim,,yes,,,,,,224797722,way,,,,,,,,,
03051,Cottbus,03051 Cottbus - OT Gallinchen,Lange Straße 2,true,false,sonstige,sonstige,https://www.minigolfsport.de/minigolfatlas-detail.php?url=cottbus,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Cottbus - OT Gallinchen,Gallinchen,Lange Straße,2,,,street_address,,,,,Germany,DE,,,,,,,,,,,,,,,,"03051 Cottbus, Lange Str. 2",0355 / 5249 74,0355 / 4837 990,http://www.sportpark-cottbus.de,info@sportpark-cottbus.de,tÃ€glich von 9.00 - 22.00 Uhr,Minigolf Open Standard,"Getränke, Eis, Snacks, warme Speisen., Tischtennes, Busanbindung, Parkplätze und Toiletten vorhanden., Kinderspielplatz in der Nähe., Die Minigolfcard zum preisreduzierten Spielen wird akzeptiert."
03058,Klein Döbbern,03058 Klein Döbbern,Talsperre Spremberg,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Klein Döbbern,,Talsperre Spremberg,,,,street_without_number,,,,,Germany,DE,,,,,,,,,,,,,,,,,,,,,,,
03096,Burg,03096 Burg,Ringchaussee 125,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Burg,,Ringchaussee,125,,,street_address,,,,,Germany,DE,51.8563806,14.1083127,"Ringchaussee 125, 03096 Burg, Germany","Ristorante Il Fienile, 125, Ringchaussee, Burg-Kauper - Kupaŕske Borkowy, Burg (Spreewald), Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03096, Deutschland",nominatim,Ristorante Il Fienile,,,,,,,,,,,,,,,,,
03185,Teichland,03185 Teichland,Erlebnispark 1,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Teichland,,Erlebnispark,1,,,street_address,,,,,Germany,DE,51.8150113,14.4353708,"Erlebnispark 1, 03185 Teichland, Germany","1, Zum Erlebnispark, Neuendorf - Nowa Wjas, Teichland, Peitz/Picnjo, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03185, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
03222,Lübbenau,03222 Lübbenau,Poststr. 10,false,false,filz,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Lübbenau,,Poststr.,10,,,street_address,,,,,Germany,DE,51.8656749,13.9655216,"Poststr. 10, 03222 Lübbenau, Germany","10, Poststraße, Erlenhorst, Stottoff - Štotup, Lübbenau/Spreewald, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 03222, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04129,Leipzig,04129 Leipzig,Wittenberger Straße 5,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Wittenberger Straße,5,,,street_address,,,,,Germany,DE,51.3549892,12.3874004,"Wittenberger Straße 5, 04129 Leipzig, Germany","STARCAR, 5, Wittenberger Straße, Eutritzsch, Nord, Leipzig, Sachsen, 04129, Deutschland",nominatim,STARCAR,,,,,,,,,,,,,,,,,
04229,Leipzig,04229 Leipzig,Anton-Bruckner-Allee (Clara-Zetzin-Park) 1,false,true,filz,filz,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Anton-Bruckner-Allee,1,,Clara-Zetzin-Park,street_address,Leipzig,Schleußig,Sachsen,,Deutschland,DE,51.3285967,12.3522893,"Anton-Bruckner-Allee 1, 04229 Leipzig, Germany","AOK Sportplatz, 1, Anton-Bruckner-Allee, Schleußig, Südwest, Leipzig, Sachsen, 04229, Deutschland",nominatim,AOK Sportplatz,sports_centre,,,,,,30927461,way,,,,,,,,,
04229,Leipzig,04229 Leipzig,über Sport-Acts,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Große Fleischergasse,19,,über Sport-Acts,named_place,Leipzig,Zentrum,Sachsen,,Deutschland,DE,51.3417985,12.372611,"Minigolf, 04229 Leipzig, Germany","Lilalicht 3D-Adventure Minigolf, 19, Große Fleischergasse, Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland",nominatim,Lilalicht 3D-Adventure Minigolf,miniature_golf,https://www.lilalicht-leipzig.de/,+49 341 24915333,"Tu-Th 14:00-21:00; Fr 14:00-22:00; Sa 11:00-22:00; Su 11:00-21:00; SH 11:00-21:00; SH Fr,Sa 11:00-22:00",,,9267520387,node,,,,,,,,,
04229,Leipzig,04229 Leipzig,Rosa-Luxemburgstr. 4,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Große Fleischergasse,19,,,street_address,Leipzig,Zentrum,Sachsen,,Deutschland,DE,51.3417985,12.372611,"Minigolf, 04229 Leipzig, Germany","Lilalicht 3D-Adventure Minigolf, 19, Große Fleischergasse, Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland",nominatim,Lilalicht 3D-Adventure Minigolf,miniature_golf,https://www.lilalicht-leipzig.de/,+49 341 24915333,"Tu-Th 14:00-21:00; Fr 14:00-22:00; Sa 11:00-22:00; Su 11:00-21:00; SH 11:00-21:00; SH Fr,Sa 11:00-22:00",,,9267520387,node,,,,,,,,,
04229,Leipzig,04229 Leipzig,Meuselwitz (neben Bluechip-Areana),false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Große Fleischergasse,19,,"Meuselwitz, neben Bluechip-Areana",named_place,Leipzig,Zentrum,Sachsen,,Deutschland,DE,51.3417985,12.372611,"Minigolf, 04229 Leipzig, Germany","Lilalicht 3D-Adventure Minigolf, 19, Große Fleischergasse, Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland",nominatim,Lilalicht 3D-Adventure Minigolf,miniature_golf,https://www.lilalicht-leipzig.de/,+49 341 24915333,"Tu-Th 14:00-21:00; Fr 14:00-22:00; Sa 11:00-22:00; Su 11:00-21:00; SH 11:00-21:00; SH Fr,Sa 11:00-22:00",,,9267520387,node,,,,,,,,,
04289,Leipzig,04289 Leipzig,Connewitzer Straße (Bruno-Plache-Stadion) 21,true,true,eternit,eternit,https://www.minigolfsport.de/minigolfatlas-detail.php?url=leipzig,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Connewitzer Straße,21,,Bruno-Plache-Stadion,street_address,Leipzig,Probstheida,Sachsen,,Deutschland,DE,51.3029376,12.4172094,"Connewitzer Straße 21, 04289 Leipzig, Germany","21, Connewitzer Straße, Probstheida, Südost, Leipzig, Sachsen, 04289, Deutschland",nominatim,,sports_centre,https://lok-leipzig.com/,+49 341 869990,,,,26429931,way,,"04289 Leipzig, Connewitzer Str.21",0341/8611744,0341/8611744,http://www.bgcleipzig.de,info@bgcleipzig.de,"Montag - Freitag: 16.00 - 20.00 Uhr, Samstag u. Sonntag: 13.00 - 20.00 Uhr, Letzter Einlass üblicherweise gegen 19.00 Uhr,, besondere Einlasszeiten für Schulklassen und Gruppen nach tel. Vereinbarung",System Eternit,"Getränke, Eis und Snacks., Straßenbahnanbindung Linie 2, 15, 16, Busanbindung Linie 79, Parkplätze und Toiletten vorhanden., Eine turniergerechte Wettkampfanlage neben dem Bruno-Plache-Stadion,, die Minigolfcard zum preisreduzierten Spielen wird akzeptiert."
04289,Leipzig,04289 Leipzig,Lene-Voigt-Straße 2,false,false,beton,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Leipzig,,Lene-Voigt-Straße,2,,,street_address,,,,,Germany,DE,51.2979875,12.4284199,"Lene-Voigt-Straße 2, 04289 Leipzig, Germany","2, Lene-Voigt-Straße, Probstheida, Südost, Leipzig, Sachsen, 04289, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04610,Meuselwitz,04610 Meuselwitz,Ernst-Grube-Str. 39A,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Meuselwitz,,Ernst-Grube-Straße,39,A,,street_address,Meuselwitz,Zipsendorf,Thüringen,Altenburger Land,Deutschland,DE,51.0495151,12.2828623,"Ernst-Grube-Str. 39 A, 04610 Meuselwitz, Germany","Ernst-Grube-Straße, Zipsendorf, Brossen, Meuselwitz, Altenburger Land, Thüringen, 04610, Deutschland",nominatim,Ernst-Grube-Straße,residential,,,,,,83128214,way,,,,,,,,,
04626,Vollmershain,04626 Vollmershain,Dorfstr. 70,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Vollmershain,,Dorfstr.,70,,,street_address,,,,,Germany,DE,50.8530961,12.3074402,"Dorfstr. 70, 04626 Vollmershain, Germany","Freibad Vollmershain, 70, Dorfstraße, Vollmershain, Oberes Sprottental, Altenburger Land, Thüringen, 04626, Deutschland",nominatim,Freibad Vollmershain,,,,,,,,,,,,,,,,,
04655,Kohren-Sahlis,04655 Kohren-Sahlis,Linda 33,false,false,eternit,eternit,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Kohren-Sahlis,,Linda,33,,,street_address,,,,,Germany,DE,50.9994541,12.6192798,"Linda 33, 04655 Kohren-Sahlis, Germany","Linda, Kohren-Sahlis, Frohburg, Landkreis Leipzig, Sachsen, 04654, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04668,Grimma,04668 Grimma,Nimbschener Landstraße 1,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Grimma,,Nimbschener Landstraße,1,,,street_address,,,,,Germany,DE,51.216159,12.7414274,"Nimbschener Landstraße 1, 04668 Grimma, Germany","1, Nimbschener Landstraße, Nimbschen, Grimma, Landkreis Leipzig, Sachsen, 04668, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04668,Höfgen,04668 Höfgen,Zur Schiffsmühle 2,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Höfgen,,Zur Schiffsmühle,2,,,street_address,,,,,Germany,DE,51.2150722,12.7500782,"Zur Schiffsmühle 2, 04668 Höfgen, Germany","2, Zur Schiffsmühle, Höfgen, Grimma, Landkreis Leipzig, Sachsen, 04668, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04668,Höfgen,04668 Höfgen,Dorfstr. 17,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Höfgen,,Dorfstr.,17,,,street_address,,,,,Germany,DE,51.210327,12.7562604,"Dorfstr. 17, 04668 Höfgen, Germany","17, Höfgener Dorfstraße, Höfgen, Grimma, Landkreis Leipzig, Sachsen, 04668, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04720,Döbeln,04720 Döbeln,Fichtestraße 10,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Döbeln,,Fichtestraße,10,,,street_address,,,,,Germany,DE,51.1141724,13.1303426,"Fichtestraße 10, 04720 Döbeln, Germany","10, Fichtestraße, Sörmitz, Zschackwitz, Döbeln, Mittelsachsen, Sachsen, 04720, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
04758,Bucha Gemeinde Cavertitz,04758 Bucha Gemeinde Cavertitz,Straße der Einheit 5b,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Bucha Gemeinde Cavertitz,,Straße der Einheit,5,b,,street_address,,,,,Germany,DE,,,,,,,,,,,,,,,,,,,,,,,
04895,Falkenberg/Elster,04895 Falkenberg/Elster,Hörsteweg 11,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Falkenberg/Elster,,Hörsteweg,11,,,street_address,,,,,Germany,DE,51.5949975,13.2608947,"Hörsteweg 11, 04895 Falkenberg/Elster, Germany","Eis Cafe Bar Bönisch, 11, Hörsteweg, Kiebitz, Falkenberg/Elster, Liebenwerda, Elbe-Elster, Brandenburg, 04895, Deutschland",nominatim,Eis Cafe Bar Bönisch,,,,,,,,,,,,,,,,,
04924,Bad Liebenwerda,04924 Bad Liebenwerda,Kurpark,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Bad Liebenwerda,,Kurpark,,,,street_without_number,,,,,Germany,DE,,,,,,,,,,,,,,,,,,,,,,,
06110,Halle (Saale),06110 Halle (Saale),Böllberger Weg 185,true,true,eternit,eternit,https://www.minigolfsport.de/minigolfatlas-detail.php?url=halle,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Halle (Saale),,Böllberger Weg,185,,,street_address,,,,,Germany,DE,51.470414,11.9578785,"Böllberger Weg 185, 06110 Halle (Saale), Germany","185, Böllberger Weg, Glaucha, Südliche Innenstadt, Halle (Saale), Sachsen-Anhalt, 06110, Deutschland",nominatim,,,,,,,,,,,"06110 Halle, Böllberger Weg 185",0345 / 9773097,,http://www.sportparadies-halle.de,info@sportparadies-halle.de,"Mai-Oktober: Mo - Fr: 15.00 - 21.00 Uhr, Sa.- So:11.00 - 21.00 Uhr, In den Schulferien täglich 11.00 - 21.00 Uhr",System Eternit,"Getränke, Eis, Snacks, warme Speisen., Tennis, Beachvolleyball und Kinderspielplatz, Busanbindung, Parkplätze und Toiletten vorhanden., Die Minigolfcard zum preisreduzierten Spielen wird akzeptiert."
06188,Landsberg,06188 Landsberg,Bergstr.,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Landsberg,,Bergstr.,,,,street_without_number,,,,,Germany,DE,51.5261388,12.1662368,"Bergstr., 06188 Landsberg, Germany","Bergstraße, Landsberg, Saalekreis, Sachsen-Anhalt, 06188, Deutschland",nominatim,Bergstraße,,,,,,,,,,,,,,,,,
06242,Großkayna,06242 Großkayna,Werkstraße 1,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Großkayna,,Werkstraße,1,,,street_address,,,,,Germany,DE,51.2894191,11.9396863,"Werkstraße 1, 06242 Großkayna, Germany","Pizzeria ""Fantasia Romana"", 1, Werkstraße, Großkayna, Braunsbedra, Saalekreis, Sachsen-Anhalt, 06242, Deutschland",nominatim,"Pizzeria ""Fantasia Romana""",,,,,,,,,,,,,,,,,
06311,Helbra,06311 Helbra,Hauptstraße,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Helbra,,Hauptstraße,,,,street_without_number,,,,,Germany,DE,51.5528624,11.4743554,"Hauptstraße, 06311 Helbra, Germany","Hauptstraße, Helbra, Mansfelder Grund-Helbra, Mansfeld-Südharz, Sachsen-Anhalt, 06311, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
06333,Quenstedt,06333 Quenstedt,Arnstedter Str. 2,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Quenstedt,,Arnstedter Str.,2,,,street_address,,,,,Germany,DE,51.6953677,11.4569566,"Arnstedter Str. 2, 06333 Quenstedt, Germany","2, Arnstedter Straße, Quenstedt, Arnstein, Mansfeld-Südharz, Sachsen-Anhalt, 06456, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
06366,Köthen,06366 Köthen,Am Ratswall 5,false,false,beton,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Köthen,,Ratswall,5,,,street_address,Köthen (Anhalt),Köthen,Sachsen-Anhalt,Anhalt-Bitterfeld,Deutschland,DE,51.7589351,11.9764998,"Minigolf, 06366 Köthen, Germany","Minigolf-Anlage am Ratswall, Ratswall, Köthen, Köthen (Anhalt), Anhalt-Bitterfeld, Sachsen-Anhalt, 06366, Deutschland",nominatim,Minigolf-Anlage am Ratswall,miniature_golf,,,,,,108721139,way,,,,,,,,,
06429,Neugattersleben,06429 Neugattersleben,Brumbyer Straße 5,false,true,eternit,eternit,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Neugattersleben,,Brumbyer Straße,5,,,street_address,,,,,Germany,DE,51.8551074,11.7087568,"Brumbyer Straße 5, 06429 Neugattersleben, Germany","5, Brumbyer Straße, Neugattersleben, Nienburg (Saale), Salzlandkreis, Sachsen-Anhalt, 06429, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
06485,Bad Suderode,06485 Bad Suderode,Felsenkellerpromenadenweg 1,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Bad Suderode,,Felsenkellerpromenadenweg,1,,,street_address,,,,,Germany,DE,,,,,,,,,,,,,,,,,,,,,,,
