name,street,postcode,place,lat,lng,source_priority,source_url,google_place_id,google_rating,google_maps_url
AOK Sportplatz,,04229,Leipzig,51.3285967,12.3522893,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJYTzmVIL3pkcRVzJ1U7gRB9E,4.4,https://maps.google.com/?cid=15062026962135757399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Lilalicht 3D-Adventure Minigolf,,04229,Leipzig,51.3417985,12.372611,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJmwtGsnz5pkcR_41fxefR8aw,4.6,https://maps.google.com/?cid=12461972437289897471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Connewitzer Str. 21,,04289,Leipzig,51.3029376,12.4172094,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ07ZQuQ75pkcREAHGHIKXpZ8,,https://maps.google.com/?cid=11503767408272081168&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Lene-Voigt-Straße 2,,04289,Leipzig,51.2979875,12.4284199,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJkUB4QRP5pkcRPnJ3wK87Lyo,,https://maps.google.com/?cid=3039713899532743230&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Ernst-Grube-Straße,,04610,Meuselwitz,51.0495151,12.2828623,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJ105QeprnpkcRUUWNm_Ufi8s,,https://maps.google.com/?cid=14666851751199327569&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Freibad Vollmershain,,04626,Vollmershain,50.8530961,12.3074402,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJcfzEgkPXpkcR7Lx2H0Ku1rk,4.5,https://maps.google.com/?cid=13391082141051698412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Linda 33,,04655,Kohren-Sahlis,50.9994541,12.6192798,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJfzLf-5wYp0cR3Rppc54ngEM,,https://maps.google.com/?cid=4863931159054719709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Nimbschener Landstraße 1,,04668,Grimma,51.216159,12.7414274,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJWRVFr7kFp0cRRsTBCjScwjY,,https://maps.google.com/?cid=3945887970862679110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Zur Schiffsmühle 2,,04668,Höfgen,51.2150722,12.7500782,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJF8Qma74Fp0cRZjczJvyNd-0,,https://maps.google.com/?cid=17111301423329654630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Dorfstraße 17,,04668,Höfgen,51.210327,12.7562604,atlas,https://www.minigolfsport.de/minigolfatlas.php?plz=0,ChIJH-WDKJcFp0cR26XCMFgAFjo,,https://maps.google.com/?cid=4185533282462639579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
